Sample in Buffer,Sample in Window,TRIGGER,SPI_CLK_OBUF,State_copy[8:0],SPI_RESET_OBUF,SPI_MOSI_OBUF,SPI_MISO_IBUF,data_input[7:0],data_output[7:0],rw_flag[1:0],SPI_CS_OBUF,TrigerEvent,SPI_gen_CLK
0,0,1,0,0,1,0,1,00,00,1,1,1,1
1,1,0,0,0,1,0,1,00,00,1,1,1,0
2,2,0,0,1,1,0,1,00,00,1,1,1,1
3,3,0,0,1,1,0,1,00,00,1,1,1,0
4,4,0,0,2,1,0,1,00,00,1,1,1,1
5,5,0,0,2,1,0,1,00,00,1,1,1,0
6,6,0,0,3,1,0,1,00,00,1,0,1,1
7,7,0,0,3,1,0,1,00,00,1,0,1,0
8,8,0,0,4,1,0,1,00,00,1,0,1,1
9,9,0,0,4,1,0,1,00,00,1,0,1,0
10,10,0,1,5,1,0,1,00,00,1,0,1,1
11,11,0,1,5,1,0,1,00,00,1,0,1,0
12,12,0,1,6,1,0,1,00,00,1,0,1,1
13,13,0,1,6,1,0,1,00,00,1,0,1,0
14,14,0,0,7,1,0,1,00,00,1,0,1,1
15,15,0,0,7,1,0,1,00,00,1,0,1,0
16,16,0,0,8,1,0,1,00,00,1,0,1,1
17,17,0,0,8,1,0,1,00,00,1,0,1,0
18,18,0,1,9,1,0,1,00,00,1,0,1,1
19,19,0,1,9,1,0,1,00,00,1,0,1,0
20,20,0,1,10,1,0,1,00,00,1,0,1,1
21,21,0,1,10,1,0,1,00,00,1,0,1,0
22,22,0,0,11,1,0,1,00,00,1,0,1,1
23,23,0,0,11,1,0,1,00,00,1,0,1,0
24,24,0,0,12,1,0,1,00,00,1,0,1,1
25,25,0,0,12,1,0,1,00,00,1,0,1,0
26,26,0,1,13,1,0,1,00,00,1,0,1,1
27,27,0,1,13,1,0,1,00,00,1,0,1,0
28,28,0,1,14,1,0,1,00,00,1,0,1,1
29,29,0,1,14,1,0,1,00,00,1,0,1,0
30,30,0,0,15,1,1,1,00,00,1,0,1,1
31,31,0,0,15,1,1,1,00,00,1,0,1,0
32,32,0,0,16,1,1,1,00,00,1,0,1,1
33,33,0,0,16,1,1,1,00,00,1,0,1,0
34,34,0,1,17,1,1,1,00,00,1,0,1,1
35,35,0,1,17,1,1,1,00,00,1,0,1,0
36,36,0,1,18,1,1,1,00,00,1,0,1,1
37,37,0,1,18,1,1,1,00,00,1,0,1,0
38,38,0,0,19,1,0,1,00,00,1,0,1,1
39,39,0,0,19,1,0,1,00,00,1,0,1,0
40,40,0,0,20,1,0,1,00,00,1,0,1,1
41,41,0,0,20,1,0,1,00,00,1,0,1,0
42,42,0,1,21,1,0,1,00,00,1,0,1,1
43,43,0,1,21,1,0,1,00,00,1,0,1,0
44,44,0,1,22,1,0,1,00,00,1,0,1,1
45,45,0,1,22,1,0,1,00,00,1,0,1,0
46,46,0,0,23,1,0,1,00,00,1,0,1,1
47,47,0,0,23,1,0,1,00,00,1,0,1,0
48,48,0,0,24,1,0,1,00,00,1,0,1,1
49,49,0,0,24,1,0,1,00,00,1,0,1,0
50,50,0,1,25,1,0,1,00,00,1,0,1,1
51,51,0,1,25,1,0,1,00,00,1,0,1,0
52,52,0,1,26,1,0,1,00,00,1,0,1,1
53,53,0,1,26,1,0,1,00,00,1,0,1,0
54,54,0,0,27,1,1,1,00,00,1,0,1,1
55,55,0,0,27,1,1,1,00,00,1,0,1,0
56,56,0,0,28,1,1,1,00,00,1,0,1,1
57,57,0,0,28,1,1,1,00,00,1,0,1,0
58,58,0,1,29,1,1,1,00,00,1,0,1,1
59,59,0,1,29,1,1,1,00,00,1,0,1,0
60,60,0,1,30,1,1,1,00,00,1,0,1,1
61,61,0,1,30,1,1,1,00,00,1,0,1,0
62,62,0,0,31,1,0,1,00,00,1,0,1,1
63,63,0,0,31,1,0,1,00,00,1,0,1,0
64,64,0,0,32,1,0,1,00,00,1,0,1,1
65,65,0,0,32,1,0,1,00,00,1,0,1,0
66,66,0,1,33,1,0,1,00,00,1,0,1,1
67,67,0,1,33,1,0,1,00,00,1,0,1,0
68,68,0,1,34,1,0,1,00,00,1,0,1,1
69,69,0,1,34,1,0,1,00,00,1,0,1,0
70,70,0,0,35,1,0,1,00,00,1,0,1,1
71,71,0,0,35,1,0,1,00,00,1,0,1,0
72,72,0,0,36,1,0,1,00,00,1,0,1,1
73,73,0,0,36,1,0,1,00,00,1,0,1,0
74,74,0,1,37,1,0,1,00,00,1,0,1,1
75,75,0,1,37,1,0,1,00,00,1,0,1,0
76,76,0,1,38,1,0,1,00,00,1,0,1,1
77,77,0,1,38,1,0,1,00,00,1,0,1,0
78,78,0,0,39,1,0,1,00,00,1,0,1,1
79,79,0,0,39,1,0,1,00,00,1,0,1,0
80,80,0,0,40,1,0,1,00,00,1,0,1,1
81,81,0,0,40,1,0,1,00,00,1,0,1,0
82,82,0,1,41,1,0,1,00,00,1,0,1,1
83,83,0,1,41,1,0,1,00,00,1,0,1,0
84,84,0,1,42,1,0,1,00,00,1,0,1,1
85,85,0,1,42,1,0,1,00,00,1,0,1,0
86,86,0,0,43,1,0,1,00,00,1,0,1,1
87,87,0,0,43,1,0,1,00,00,1,0,1,0
88,88,0,0,44,1,0,1,00,00,1,0,1,1
89,89,0,0,44,1,0,1,00,00,1,0,1,0
90,90,0,1,45,1,0,1,00,00,1,0,1,1
91,91,0,1,45,1,0,1,00,00,1,0,1,0
92,92,0,1,46,1,0,1,00,00,1,0,1,1
93,93,0,1,46,1,0,1,00,00,1,0,1,0
94,94,0,0,47,1,0,1,00,00,1,0,1,1
95,95,0,0,47,1,0,1,00,00,1,0,1,0
96,96,0,0,48,1,0,1,00,00,1,0,1,1
97,97,0,0,48,1,0,1,00,00,1,0,1,0
98,98,0,1,49,1,0,1,00,00,1,0,1,1
99,99,0,1,49,1,0,1,00,00,1,0,1,0
100,100,0,1,50,1,0,1,00,00,1,0,1,1
101,101,0,1,50,1,0,1,00,00,1,0,1,0
102,102,0,0,51,1,0,1,00,00,1,0,1,1
103,103,0,0,51,1,0,1,00,00,1,0,1,0
104,104,0,0,52,1,0,1,00,00,1,0,1,1
105,105,0,0,52,1,0,1,00,00,1,0,1,0
106,106,0,1,53,1,0,1,00,00,1,0,1,1
107,107,0,1,53,1,0,1,00,00,1,0,1,0
108,108,0,1,54,1,0,1,00,00,1,0,1,1
109,109,0,1,54,1,0,1,00,00,1,0,1,0
110,110,0,0,55,1,0,1,00,00,1,0,1,1
111,111,0,0,55,1,0,1,00,00,1,0,1,0
112,112,0,0,56,1,0,1,00,00,1,0,1,1
113,113,0,0,56,1,0,1,00,00,1,0,1,0
114,114,0,1,57,1,0,1,00,00,1,0,1,1
115,115,0,1,57,1,0,1,00,00,1,0,1,0
116,116,0,1,58,1,0,1,00,00,1,0,1,1
117,117,0,1,58,1,0,1,00,00,1,0,1,0
118,118,0,0,59,1,0,1,00,00,1,0,1,1
119,119,0,0,59,1,0,1,00,00,1,0,1,0
120,120,0,0,60,1,0,1,00,00,1,0,1,1
121,121,0,0,60,1,0,1,00,00,1,0,1,0
122,122,0,1,61,1,0,1,00,00,1,0,1,1
123,123,0,1,61,1,0,1,00,00,1,0,1,0
124,124,0,1,62,1,0,1,00,00,1,0,1,1
125,125,0,1,62,1,0,1,00,00,1,0,1,0
126,126,0,0,63,1,0,1,00,00,1,0,1,1
127,127,0,0,63,1,0,1,00,00,1,0,1,0
128,128,0,0,64,1,0,1,00,00,1,0,1,1
129,129,0,0,64,1,0,1,00,00,1,0,1,0
130,130,0,1,65,1,0,1,00,00,1,0,1,1
131,131,0,1,65,1,0,1,00,00,1,0,1,0
132,132,0,1,66,1,0,1,00,00,1,0,1,1
133,133,0,1,66,1,0,1,00,00,1,0,1,0
134,134,0,0,67,1,0,1,00,00,1,0,1,1
135,135,0,0,67,1,0,1,00,00,1,0,1,0
136,136,0,0,68,1,0,1,00,00,1,0,1,1
137,137,0,0,68,1,0,1,00,00,1,0,1,0
138,138,0,0,69,1,0,1,00,00,1,1,1,1
139,139,0,0,69,1,0,1,00,00,1,1,1,0
140,140,0,0,70,1,0,1,00,00,1,1,1,1
141,141,0,0,70,1,0,1,00,00,1,1,1,0
142,142,0,0,0,1,0,1,00,00,1,1,1,1
143,143,0,0,0,1,0,1,00,00,1,1,1,0
144,144,0,0,1,1,0,1,00,00,1,1,1,1
145,145,0,0,1,1,0,1,00,00,1,1,1,0
146,146,0,0,2,1,0,1,00,00,1,1,1,1
147,147,0,0,2,1,0,1,00,00,1,1,1,0
148,148,0,0,3,1,0,1,00,00,1,0,1,1
149,149,0,0,3,1,0,1,00,00,1,0,1,0
150,150,0,0,4,1,0,1,00,00,1,0,1,1
151,151,0,0,4,1,0,1,00,00,1,0,1,0
152,152,0,1,5,1,0,1,00,00,1,0,1,1
153,153,0,1,5,1,0,1,00,00,1,0,1,0
154,154,0,1,6,1,0,1,00,00,1,0,1,1
155,155,0,1,6,1,0,1,00,00,1,0,1,0
156,156,0,0,7,1,0,1,00,00,1,0,1,1
157,157,0,0,7,1,0,1,00,00,1,0,1,0
158,158,0,0,8,1,0,1,00,00,1,0,1,1
159,159,0,0,8,1,0,1,00,00,1,0,1,0
160,160,0,1,9,1,0,1,00,00,1,0,1,1
161,161,0,1,9,1,0,1,00,00,1,0,1,0
162,162,0,1,10,1,0,1,00,00,1,0,1,1
163,163,0,1,10,1,0,1,00,00,1,0,1,0
164,164,0,0,11,1,0,1,00,00,1,0,1,1
165,165,0,0,11,1,0,1,00,00,1,0,1,0
166,166,0,0,12,1,0,1,00,00,1,0,1,1
167,167,0,0,12,1,0,1,00,00,1,0,1,0
168,168,0,1,13,1,0,1,00,00,1,0,1,1
169,169,0,1,13,1,0,1,00,00,1,0,1,0
170,170,0,1,14,1,0,1,00,00,1,0,1,1
171,171,0,1,14,1,0,1,00,00,1,0,1,0
172,172,0,0,15,1,1,1,00,00,1,0,1,1
173,173,0,0,15,1,1,1,00,00,1,0,1,0
174,174,0,0,16,1,1,1,00,00,1,0,1,1
175,175,0,0,16,1,1,1,00,00,1,0,1,0
176,176,0,1,17,1,1,1,00,00,1,0,1,1
177,177,0,1,17,1,1,1,00,00,1,0,1,0
178,178,0,1,18,1,1,1,00,00,1,0,1,1
179,179,0,1,18,1,1,1,00,00,1,0,1,0
180,180,0,0,19,1,0,1,00,00,1,0,1,1
181,181,0,0,19,1,0,1,00,00,1,0,1,0
182,182,0,0,20,1,0,1,00,00,1,0,1,1
183,183,0,0,20,1,0,1,00,00,1,0,1,0
184,184,0,1,21,1,0,1,00,00,1,0,1,1
185,185,0,1,21,1,0,1,00,00,1,0,1,0
186,186,0,1,22,1,0,1,00,00,1,0,1,1
187,187,0,1,22,1,0,1,00,00,1,0,1,0
188,188,0,0,23,1,0,1,00,00,1,0,1,1
189,189,0,0,23,1,0,1,00,00,1,0,1,0
190,190,0,0,24,1,0,1,00,00,1,0,1,1
191,191,0,0,24,1,0,1,00,00,1,0,1,0
192,192,0,1,25,1,0,1,00,00,1,0,1,1
193,193,0,1,25,1,0,1,00,00,1,0,1,0
194,194,0,1,26,1,0,1,00,00,1,0,1,1
195,195,0,1,26,1,0,1,00,00,1,0,1,0
196,196,0,0,27,1,1,1,00,00,1,0,1,1
197,197,0,0,27,1,1,1,00,00,1,0,1,0
198,198,0,0,28,1,1,1,00,00,1,0,1,1
199,199,0,0,28,1,1,1,00,00,1,0,1,0
200,200,0,1,29,1,1,1,00,00,1,0,1,1
201,201,0,1,29,1,1,1,00,00,1,0,1,0
202,202,0,1,30,1,1,1,00,00,1,0,1,1
203,203,0,1,30,1,1,1,00,00,1,0,1,0
204,204,0,0,31,1,0,1,00,00,1,0,1,1
205,205,0,0,31,1,0,1,00,00,1,0,1,0
206,206,0,0,32,1,0,1,00,00,1,0,1,1
207,207,0,0,32,1,0,1,00,00,1,0,1,0
208,208,0,1,33,1,0,1,00,00,1,0,1,1
209,209,0,1,33,1,0,1,00,00,1,0,1,0
210,210,0,1,34,1,0,1,00,00,1,0,1,1
211,211,0,1,34,1,0,1,00,00,1,0,1,0
212,212,0,0,35,1,0,1,00,00,1,0,1,1
213,213,0,0,35,1,0,1,00,00,1,0,1,0
214,214,0,0,36,1,0,1,00,00,1,0,1,1
215,215,0,0,36,1,0,1,00,00,1,0,1,0
216,216,0,1,37,1,0,1,00,00,1,0,1,1
217,217,0,1,37,1,0,1,00,00,1,0,1,0
218,218,0,1,38,1,0,1,00,00,1,0,1,1
219,219,0,1,38,1,0,1,00,00,1,0,1,0
220,220,0,0,39,1,0,1,00,00,1,0,1,1
221,221,0,0,39,1,0,1,00,00,1,0,1,0
222,222,0,0,40,1,0,1,00,00,1,0,1,1
223,223,0,0,40,1,0,1,00,00,1,0,1,0
224,224,0,1,41,1,0,1,00,00,1,0,1,1
225,225,0,1,41,1,0,1,00,00,1,0,1,0
226,226,0,1,42,1,0,1,00,00,1,0,1,1
227,227,0,1,42,1,0,1,00,00,1,0,1,0
228,228,0,0,43,1,0,1,00,00,1,0,1,1
229,229,0,0,43,1,0,1,00,00,1,0,1,0
230,230,0,0,44,1,0,1,00,00,1,0,1,1
231,231,0,0,44,1,0,1,00,00,1,0,1,0
232,232,0,1,45,1,0,1,00,00,1,0,1,1
233,233,0,1,45,1,0,1,00,00,1,0,1,0
234,234,0,1,46,1,0,1,00,00,1,0,1,1
235,235,0,1,46,1,0,1,00,00,1,0,1,0
236,236,0,0,47,1,0,1,00,00,1,0,1,1
237,237,0,0,47,1,0,1,00,00,1,0,1,0
238,238,0,0,48,1,0,1,00,00,1,0,1,1
239,239,0,0,48,1,0,1,00,00,1,0,1,0
240,240,0,1,49,1,0,1,00,00,1,0,1,1
241,241,0,1,49,1,0,1,00,00,1,0,1,0
242,242,0,1,50,1,0,1,00,00,1,0,1,1
243,243,0,1,50,1,0,1,00,00,1,0,1,0
244,244,0,0,51,1,0,1,00,00,1,0,1,1
245,245,0,0,51,1,0,1,00,00,1,0,1,0
246,246,0,0,52,1,0,1,00,00,1,0,1,1
247,247,0,0,52,1,0,1,00,00,1,0,1,0
248,248,0,1,53,1,0,1,00,00,1,0,1,1
249,249,0,1,53,1,0,1,00,00,1,0,1,0
250,250,0,1,54,1,0,1,00,00,1,0,1,1
251,251,0,1,54,1,0,1,00,00,1,0,1,0
252,252,0,0,55,1,0,1,00,00,1,0,1,1
253,253,0,0,55,1,0,1,00,00,1,0,1,0
254,254,0,0,56,1,0,1,00,00,1,0,1,1
255,255,0,0,56,1,0,1,00,00,1,0,1,0
256,256,0,1,57,1,0,1,00,00,1,0,1,1
257,257,0,1,57,1,0,1,00,00,1,0,1,0
258,258,0,1,58,1,0,1,00,00,1,0,1,1
259,259,0,1,58,1,0,1,00,00,1,0,1,0
260,260,0,0,59,1,0,1,00,00,1,0,1,1
261,261,0,0,59,1,0,1,00,00,1,0,1,0
262,262,0,0,60,1,0,1,00,00,1,0,1,1
263,263,0,0,60,1,0,1,00,00,1,0,1,0
264,264,0,1,61,1,0,1,00,00,1,0,1,1
265,265,0,1,61,1,0,1,00,00,1,0,1,0
266,266,0,1,62,1,0,1,00,00,1,0,1,1
267,267,0,1,62,1,0,1,00,00,1,0,1,0
268,268,0,0,63,1,0,1,00,00,1,0,1,1
269,269,0,0,63,1,0,1,00,00,1,0,1,0
